Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia,batchId,methodId,taskId,taskScheduleRepeat,taskScheduleDescription,garminDeviceId,firstSampleUnixTimestampInMs,lastSampleUnixTimestampInMs
2f38ca27-bac7-476c-b735-95faf7ba3c1d,QA Template: Garmin Full Test,6732ab82-077a-4bfd-8f89-246aba683253,sample_participant_01,9a01a9a6-b720-475b-a0c9-b7312b0ed952,d2c5013a-26e5-461e-b3d0-1f6b216a7f37,1725e82d-8800-4fd7-a12f-a712238e949e,false,,dba71865-d874-421e-a324-1ecc7df9b5a0,1675166467000,1675645200000

timezone,unixTimestampInMs,isoDate,deviceType,durationInMs,steps,totalSteps
Asia/Taipei,1675180320000,2023-01-31T23:52:00.000+08:00,,60,0,2291
Asia/Taipei,1675180380000,2023-01-31T23:53:00.000+08:00,,60,0,2291
Asia/Taipei,1675180440000,2023-01-31T23:54:00.000+08:00,,60,0,2291
Asia/Taipei,1675180500000,2023-01-31T23:55:00.000+08:00,,60,0,2291
Asia/Taipei,1675180560000,2023-01-31T23:56:00.000+08:00,,60,0,2291
Asia/Taipei,1675180620000,2023-01-31T23:57:00.000+08:00,,60,0,2291
Asia/Taipei,1675180680000,2023-01-31T23:58:00.000+08:00,,60,0,2291
Asia/Taipei,1675180740000,2023-01-31T23:59:00.000+08:00,,59,0,2291
Asia/Taipei,1675180800000,2023-02-01T00:00:00.000+08:00,,60,0,0
Asia/Taipei,1675180860000,2023-02-01T00:01:00.000+08:00,,60,0,0
Asia/Taipei,1675180920000,2023-02-01T00:02:00.000+08:00,,60,0,0
Asia/Taipei,1675180980000,2023-02-01T00:03:00.000+08:00,,60,0,0
Asia/Taipei,1675181040000,2023-02-01T00:04:00.000+08:00,,60,0,0
Asia/Taipei,1675181100000,2023-02-01T00:05:00.000+08:00,,60,0,0
Asia/Taipei,1675181160000,2023-02-01T00:06:00.000+08:00,,60,0,0
Asia/Taipei,1675181220000,2023-02-01T00:07:00.000+08:00,,60,0,0
Asia/Taipei,1675181280000,2023-02-01T00:08:00.000+08:00,,60,0,0
Asia/Taipei,1675181340000,2023-02-01T00:09:00.000+08:00,,60,0,0
Asia/Taipei,1675181400000,2023-02-01T00:10:00.000+08:00,,60,0,0
Asia/Taipei,1675181460000,2023-02-01T00:11:00.000+08:00,,60,0,0
Asia/Taipei,1675181520000,2023-02-01T00:12:00.000+08:00,,60,0,0
Asia/Taipei,1675181580000,2023-02-01T00:13:00.000+08:00,,60,0,0
Asia/Taipei,1675181640000,2023-02-01T00:14:00.000+08:00,,60,0,0
Asia/Taipei,1675181700000,2023-02-01T00:15:00.000+08:00,,60,0,0
Asia/Taipei,1675181760000,2023-02-01T00:16:00.000+08:00,,60,0,0
Asia/Taipei,1675181820000,2023-02-01T00:17:00.000+08:00,,60,0,0
Asia/Taipei,1675181880000,2023-02-01T00:18:00.000+08:00,,60,0,0
Asia/Taipei,1675181940000,2023-02-01T00:19:00.000+08:00,,60,0,0
Asia/Taipei,1675182000000,2023-02-01T00:20:00.000+08:00,,60,0,0
Asia/Taipei,1675182060000,2023-02-01T00:21:00.000+08:00,,60,0,0
Asia/Taipei,1675182120000,2023-02-01T00:22:00.000+08:00,,60,0,0
Asia/Taipei,1675182180000,2023-02-01T00:23:00.000+08:00,,60,0,0
Asia/Taipei,1675182240000,2023-02-01T00:24:00.000+08:00,,60,0,0
Asia/Taipei,1675182300000,2023-02-01T00:25:00.000+08:00,,60,0,0
Asia/Taipei,1675182360000,2023-02-01T00:26:00.000+08:00,,60,0,0
Asia/Taipei,1675182420000,2023-02-01T00:27:00.000+08:00,,60,0,0
Asia/Taipei,1675182480000,2023-02-01T00:28:00.000+08:00,,60,0,0
Asia/Taipei,1675182540000,2023-02-01T00:29:00.000+08:00,,60,0,0
Asia/Taipei,1675182600000,2023-02-01T00:30:00.000+08:00,,60,0,0
Asia/Taipei,1675182660000,2023-02-01T00:31:00.000+08:00,,60,0,0
Asia/Taipei,1675182720000,2023-02-01T00:32:00.000+08:00,,60,0,0
Asia/Taipei,1675182780000,2023-02-01T00:33:00.000+08:00,,60,0,0
Asia/Taipei,1675182840000,2023-02-01T00:34:00.000+08:00,,60,0,0
Asia/Taipei,1675182900000,2023-02-01T00:35:00.000+08:00,,60,0,0
Asia/Taipei,1675182960000,2023-02-01T00:36:00.000+08:00,,60,0,0
Asia/Taipei,1675183020000,2023-02-01T00:37:00.000+08:00,,60,0,0
Asia/Taipei,1675183080000,2023-02-01T00:38:00.000+08:00,,60,0,0
Asia/Taipei,1675183140000,2023-02-01T00:39:00.000+08:00,,60,0,0
Asia/Taipei,1675183200000,2023-02-01T00:40:00.000+08:00,,60,0,0
Asia/Taipei,1675183260000,2023-02-01T00:41:00.000+08:00,,60,0,0
Asia/Taipei,1675183320000,2023-02-01T00:42:00.000+08:00,,60,0,0
Asia/Taipei,1675183380000,2023-02-01T00:43:00.000+08:00,,60,0,0
Asia/Taipei,1675183440000,2023-02-01T00:44:00.000+08:00,,60,0,0
Asia/Taipei,1675183500000,2023-02-01T00:45:00.000+08:00,,60,0,0
Asia/Taipei,1675183560000,2023-02-01T00:46:00.000+08:00,,60,0,0
Asia/Taipei,1675183620000,2023-02-01T00:47:00.000+08:00,,60,0,0
Asia/Taipei,1675183680000,2023-02-01T00:48:00.000+08:00,,60,0,0
Asia/Taipei,1675183740000,2023-02-01T00:49:00.000+08:00,,60,0,0
Asia/Taipei,1675183800000,2023-02-01T00:50:00.000+08:00,,60,0,0
Asia/Taipei,1675183860000,2023-02-01T00:51:00.000+08:00,,60,0,0
Asia/Taipei,1675183920000,2023-02-01T00:52:00.000+08:00,,60,0,0
Asia/Taipei,1675183980000,2023-02-01T00:53:00.000+08:00,,60,0,0
Asia/Taipei,1675184040000,2023-02-01T00:54:00.000+08:00,,60,0,0
Asia/Taipei,1675184100000,2023-02-01T00:55:00.000+08:00,,60,0,0
Asia/Taipei,1675184160000,2023-02-01T00:56:00.000+08:00,,60,0,0
Asia/Taipei,1675184220000,2023-02-01T00:57:00.000+08:00,,60,0,0
Asia/Taipei,1675184280000,2023-02-01T00:58:00.000+08:00,,60,0,0
Asia/Taipei,1675184340000,2023-02-01T00:59:00.000+08:00,,60,0,0
Asia/Taipei,1675184400000,2023-02-01T01:00:00.000+08:00,,60,0,0
Asia/Taipei,1675184460000,2023-02-01T01:01:00.000+08:00,,60,0,0
Asia/Taipei,1675184520000,2023-02-01T01:02:00.000+08:00,,60,0,0
Asia/Taipei,1675184580000,2023-02-01T01:03:00.000+08:00,,60,0,0
Asia/Taipei,1675184640000,2023-02-01T01:04:00.000+08:00,,60,0,0
Asia/Taipei,1675184700000,2023-02-01T01:05:00.000+08:00,,60,0,0
Asia/Taipei,1675184760000,2023-02-01T01:06:00.000+08:00,,60,0,0
Asia/Taipei,1675184820000,2023-02-01T01:07:00.000+08:00,,60,0,0
Asia/Taipei,1675184880000,2023-02-01T01:08:00.000+08:00,,60,0,0
Asia/Taipei,1675184940000,2023-02-01T01:09:00.000+08:00,,60,0,0
Asia/Taipei,1675185000000,2023-02-01T01:10:00.000+08:00,,60,0,0
Asia/Taipei,1675185060000,2023-02-01T01:11:00.000+08:00,,60,0,0
Asia/Taipei,1675185120000,2023-02-01T01:12:00.000+08:00,,60,0,0
Asia/Taipei,1675185180000,2023-02-01T01:13:00.000+08:00,,60,0,0
Asia/Taipei,1675185240000,2023-02-01T01:14:00.000+08:00,,60,0,0
Asia/Taipei,1675185300000,2023-02-01T01:15:00.000+08:00,,60,0,0
Asia/Taipei,1675185360000,2023-02-01T01:16:00.000+08:00,,60,0,0
Asia/Taipei,1675185420000,2023-02-01T01:17:00.000+08:00,,60,0,0
Asia/Taipei,1675185480000,2023-02-01T01:18:00.000+08:00,,60,0,0
Asia/Taipei,1675185540000,2023-02-01T01:19:00.000+08:00,,60,0,0
